id,contact_id,product_id,kajabi_subscription_id,status,amount,currency,billing_cycle,start_date,trial_end_date,cancellation_date,next_billing_date,payment_processor,coupon_code,created_at,updated_at
e6e9bc13-1aac-48ff-92dd-d84056db3d6e,a6d0f1e0-376e-4245-9415-23bfbe9326ed,,2157187410,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
19a9f320-4107-4766-beb0-2cf273e28970,905cbca7-5c23-4b1e-ba1d-8aa3698f63c3,,2158233622,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
c048870e-cef4-46a8-9c77-02121d5cc8f5,fcb436d0-e29e-47d8-a637-4f2888569a52,,2158457211,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
bf92b0c8-3e24-42d9-92cb-396f6545db02,bfcda717-9a64-45c9-9dfa-7949a35c1169,,2158713644,canceled,$88.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
9049d194-f211-4d5b-90cd-034b0cbcf400,df732153-7579-436e-9bb3-b0992aa6c100,,2159054862,active,$88.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
1aaff30a-6d8d-4c73-a624-11657933804d,377d6969-b3f6-4593-aaad-53a644514e10,,2159443696,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
9b9429fb-ca88-418b-9f05-b3db4a843fae,f1f3b1c8-28b3-45e1-946f-6cfa1ec2036e,,2159502207,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
b0d8c027-bfb4-4e93-8989-b68147dcf26e,a649db1b-0e92-467e-811e-39d032d6f09f,,2160674193,active,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
1b4e27f2-c96d-4b38-b70a-4a5c2710cfb5,69e9ccb7-85cd-41dc-ae15-7b0fe72d2299,,2160850823,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
3ca7df4c-988c-4b98-923f-d126b596874e,7373f3dd-1297-43db-9111-c60d55d3abae,,2161777423,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
254048eb-ffce-4d25-b655-d8128e455690,d396f6ff-8159-43c6-bbab-f68db202873c,,2162874815,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
9f27c99b-ec81-416e-a37e-2e9a1a8a367c,2e2f5706-2269-49ce-aac8-6a5d1eafeb9a,,2163083236,canceled,$44.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
e5ba448a-165b-43e6-a852-fe6e81e6717b,b2e18fe1-8cf9-498e-a787-ee5b3cb5adbc,,2163267569,canceled,$968.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
a74190a3-f9ce-45f6-ab73-8bf44215dc53,31541373-bcc9-4194-9654-cae610607d79,,2163673948,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
f24131b3-513d-4f4a-8688-7058c587b38a,7739964b-c14a-49d8-bc81-c4d04bbb8f86,,2163848977,active,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
d2277097-ed66-4d4d-bf11-c85cab38cac4,0ec47f48-25bd-4824-baea-2d4878e4326b,,2163854261,active,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
3624d3a4-b5bd-4f78-9f9c-adc0384e17a7,cc4256c3-7f6d-49f0-8843-d02ee166a61f,,2164374980,canceled,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
2439eb00-c7fb-40a4-9440-b91a905008cf,c3815ccb-54f6-4d5f-9f65-9ddb1d7626eb,,2164557283,active,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
2d187ab7-ebce-4fbb-b6b5-5dad96a7d1d9,20f5b32b-085a-4f96-b6ee-0deb0aad118e,,2165225014,canceled,$88.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
de136dc3-564c-4e5a-9e52-34ac4d4cac88,8109792b-9bcb-4cef-87e4-0fb658fe372e,,2166310748,active,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
2eab33a5-39db-4200-b845-27073e978c9e,aa45db8e-8d15-49c2-9c2f-27186eb765e3,,2167636652,canceled,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
9863d599-8b16-4de0-84dc-40e2f3e8ef22,e2d72643-949f-44cb-86e0-642522c5824d,,2168104992,canceled,$88.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
c819521d-47ae-4ac5-8940-5c736721ad91,00178a03-1863-4cf9-b5c0-ee1b196f72c8,,2168581614,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
e4a49543-62ea-464b-8d00-7cbfff6a79e3,e26d5d46-6120-4411-b610-abbf09b31c52,,2169089837,canceled,$88.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
49f36271-2853-4e86-9055-6aab7fe2a949,97142d5a-9037-4fbf-b5af-8a30ec0bc972,,2169417350,canceled,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
7f279579-b94e-481c-b971-b42d48ad00a3,ec12a73d-6a99-4344-9d61-e9b353945cba,,2169788340,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
bcd8dd9c-1473-4b31-a8c7-463be4b0450e,db55968d-dcad-44d7-9a7b-8cb824f1d9f9,,2169895172,active,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
26fc3095-8ac9-4757-ad76-b307bfbc40e2,ec12a73d-6a99-4344-9d61-e9b353945cba,,2170144868,canceled,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
584b5493-047a-4219-9789-c29812f75127,6faf72b4-1654-4523-9c46-4465f0cadd28,,2170428370,active,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
a2dc87b9-35d6-4c34-8144-ce0f56800a3e,bc36e8a6-85c5-4fc6-8581-1ddee0413681,,2170588218,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
2323847d-9b1a-48f6-a130-dfa0af655615,8902287f-e1c1-4cbd-8965-1d393cb22633,,2170850206,active,$968.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
f3bb612a-7a1c-4c77-a9ec-b16b703b8433,109a7a06-9611-45e5-bc5b-c26e323bf4a3,,2170897149,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
d3ec5767-11cf-45a4-b6b5-7643ec6cebda,c95566ed-2c05-4770-bbd4-93ef62695e12,,2171004003,active,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
6320855e-16df-4dc2-a043-27b71ccee1e0,0ef1e544-ce41-4776-b887-185510d9fd25,,2171710078,active,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
68cf4d17-e342-4ea3-812d-730d0f921ce8,c75d5268-04eb-49e0-84dc-0bf7c5271719,,2172200836,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
70d3db81-940b-4d6d-8a09-e7cc234e32f8,41f2b012-776a-475c-b5f8-b0450bdab9ba,,2172284434,active,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
